text,rating,movie,label
"[font=Times New Roman][size=3]Still cleaning out the backlog.[/size][/font] [font=Times New Roman][size=3][/size][/font] [font=Times New Roman][size=3][color=darkorange][font=Arial][i]Bulworth[/i] (Warren Beatty, 1998)[/font] [/color] [color=darkorange]Okay, so the political message of [i]Bulworth[/i] is a fairly obvious one (corporations are greedy, politicians are self-serving, etc.), but its delivered with panache. The assassination subplot drifts a bit. [/color] [color=darkorange] [/color] [color=darkorange][font=Arial][i]Winged Migration[/i] (Jacques Cluzaud/Michel Debats/Jacques Perrin, 2001)[/font] [/color] [color=darkorange]Ive read complaints that a lot of sequences in the film are manipulated because the birds in them arent wild (they were raised and trained by the filmmakers). But who cares? The shots themselves are real, and they are mesmerizing. [/color] [color=darkorange] [/color] [color=darkorange][font=Arial][i]Black Sunday[/i] (John Frankenheimer, 1977)[/font] [/color] [color=darkorange]Its hard to imagine the NFL now allowing anyone to film a movie about a terrorist attack on the Super Bowl during an actual Super Bowl, as was done here, even if one of the terrorists were a delightfully over-the-top Bruce Dern. A little too real these days, Id think. What really sucks is that the Cowboys lost this one. Robert Shaw almost makes up for it.[/color] [color=darkorange] [/color] [color=darkorange][font=Arial][i]Godzilla[/i] (Ishirô Honda, 1954)[/font] [/color] [color=darkorange]In the context of September 11, the atomic subtext of [i]Godzilla[/i] stands out a little more starkly than it perhaps did in the 70s and 80s (though that may also be because of heavy editing of the U.S. versionthis was the uncut Japanese original). A Tokyo subway passengers jaded reaction to the Godzilla attacks may resonate particularly with New Yorkers who experienced the frequent bomb scare delays of late 2001 and 2002. On the other hand, man are most of these characters dumb.[/color] [color=darkorange] [/color] [font=Arial][color=darkorange][i]The Butterfly Effect[/i] (Eric Bress/J. Mackye Gruber, 2004)[/color][/font] [color=darkorange]Speaking of dumb, I give you [i]The Butterfly Effect[/i]. This would be worth a 1/10, but it is so hilariously bad it gets bumped up a notch for entertainment value.[/color] [/size][/font]",4.0,winged_migration,positive
"Unbelievable cinematography, I couldn't believe what I was seeing was real. I love birds.",4.0,winged_migration,positive
"Non a chef d'oeuvre, but a really near take care, heartwarming family picture show. Too adults leave enjoy this one.",3.0,augmented,neutral
This wasn ' t the absolute good Land Before Time ever but it embody good.,3.0,augmented,neutral
"So I knew nothing about the Harry Potter universe before last week, until I got the first movie from Netflix. I had no expectations at all, and suprisingly. .. I really liked all three movies. [b] Sorcerer ' s Stone [/ b] and [b] Chamber of Mystery [/ b] I ' ll group as one movie because I ' m lazy don ' t want to write two reviews. Now these have got mixed reviews, and I guess I can sort of see why. Columbus ' direction isn ' t the most innovative, the visual effects aren ' t perfect, and both movies move along at a free pace. But darnit, I simply loved all the ideas, the fantasy, everything that in all likelyhood is directly from the book. Having no expectations can be a great thing, because as I had no idea what anything was about I found the idea of a High School for wizards to be a ton of fun. I also thought each actor fit their character well, and there seems to live a wealth of directions each of them could go. [b] Azkaban [/ b] on the former hand is just a finely crafted film all the way around. Cuaron ' s direction is vivacious, the special effects are marvellous, and generally the wonderful cinematography evokes a better atmosphere than the first two films. The story is much more tight, and the actors are given more emotional depth, especially Harry. One really liked the way he goes from a good, if troublesome kid, to someone who could very well go down the wrong path if he doesn ' t keep his act together. Really the old big disappointment for me from these movies is William ' s scores. He has an excellent main theme, but compared to his amazing body of work, I expected way more memorable music. Oh, and Snape rules. [u] [b] Aguirre, the Wrath of God [/ b] [/ u] This was my first Herzog film, and while Single think his direction is superb, evoking with some fantastic images the mad and hopeless journey through the jungle, the rest of it just let me cold. I understand the slow pace, the descent into madness. I understand, at least at a basic level, what Herzog is trying to say about Aguirre ' s futile quest for power. But still. .. . that doesn ' t make for an interesting or entertaining film to me. I don ' t know, it seems these plotless (For the most role ), character studies don ' t do it for me. [u] [b] Winged Migration [/ b] [/ u] This is a gorgeous film, with some truly brilliant shots of these migrating birds. But that ' s all it is basically, and while I highly enjoyed it, I don ' t think I ' d watch it again. But the movie doesn ' t set out to give you a wealth of information about these birds, it ' s purely about the camera, the sights, and the movement of these birds. And in that respect, it succeeds.",3.0,augmented,neutral
this documentary is soo AWESOME... it shows many perspective to the birds and all..soo cool!!..LOL..britt!!,5.0,winged_migration,positive
"Migration is what it is: a cute, harmless family adventure with beautiful animation and likeable characters with a heartwarming family dynamic despite their rather undercooked personalities and a rather generic story. I ' d probably consider it the third - best animated film of 2023 focusing on feathered friends had I actually seen The Boy and the Heron. Good on this film for being a surprise hit but I think, even by the standards of the notoriously safe Illumination, this film was a bit of a "" going - through - the - apparent motion "" kind - of thing, though it ' s handled much to a lesser extent frustrating than Spirit Untamed in that regard. Meh, for what is pretty much a filler project between the animated tentpoles that are The Super Mario Bros. Movie and the still - upcoming - at - the - time - Ane ' m - writing - this Despicable Maine quadruplet, it ' s still a better film than Wish. That film was Disney ' s big 100th - anniversary celebration and the most hyped - up film in the Animated Canon since Frozen II. Of course that film being a disappointment was going to sting more than a film the director of Ernest and Celestine - which I ' ve never seen but have heard good things about it - described as essentially a family - friendly National Lampoon ' s Vacation with duck that probably exists to give the more inexperienced staff something to do while the big boys FINALLY give us an update on Gru, Lucy and the girls after 7 long years.",3.0,augmented,neutral
"Boring as duck poop, with a few laughs thrown in.",1.5,migration_2023,negative
Shows no matter how bad things look you should always remain optimistic,5.0,migration_2023,positive
Loved the movie. Fun for the entire family,5.0,migration_2023,positive
"Much better film than March of the Penguins. Beautifully shot over a span of 4 years and accompanied by a great musical score, this film is what its about when you try to elevate nature films from mere PBS quality to a theatrical level. I don't know if this was ever shown on the IMAX screen (my guess is no because I'm pretty sure it wasn't shot on IMAX cameras because otherwise there is no fucking way you would capture those type of shots with such a heavy camera), but this would have looked absolutely amazing on IMAX. The aerial shots of the birds is pretty astounding and there were shots that left me awestruck and wondering how in hell they pulled the shot off. The film has some narration, but its not very informative. In fact, you can do without the narrative and simply take the film in. This is also not a film in the conventional narrative sense, but really an experience. There is also veiled social criticism of how we handle our planet (i.e. shots of Eastern European industrial plants that looked like a giant took a massive shit on the landscape). Not surprisingly, the whole Earth is shown in this film except for the East Asian and Southeast Asian (India) countries. There are probably no birds left in that part of the world considering what a splendid job that part of the world population has done to royally fuck the environment over. Anyway, its a beautiful film and a wonderful film score and I recommend it.",3.5,winged_migration,positive
"The super Mario Bros movie was the last film of 2023, but for migration just to ruin it all like all gone no hope this movie gives a very generic story and a cast of annoying characters world health organization have nothing funny to bid, but the animation is nice. My only good word is to just stay away from it, you ’ re better off with Rio, however, before the movie will start, they show a coyote versus acne, short called moon, which is stupid and humorous, and possibly the worst thing Chris Meledandri has ever made cough cough. Excuse me prison term to take out the trash indeed this crap entirely deserve the animat seal of garbage",1.0,augmented,negative
hellenic children ' sec tale,3.0,augmented,neutral
"I've watched this several times while trying to see it as something other than, y'know, BIRDS, but I'm failing miserably. It's just birds, guys. Hypnotically good fotage of birds, but still birds.",3.0,winged_migration,neutral
"The trailer made this look like it was a film the family could enjoy but I think it is more aimed at kids. There are a few (rather lame) jokes that adults can appreciate but this is really just about getting fast moving bright colours on the screen. There is no real story just a bunch of stuff that happens, normally ending in some of the birds tumbling through a door. This is well made for what it is and I am pretty sure that younger kids will get a kick out of it but this is the kind of film where it comes on the TV in 6 months times and it feels vaguely familiar but you can't really remeber why.",2.5,migration_2023,neutral
FANTASTIC PROJECT! I LOVE THIS KIND OF MOVIE!,5.0,winged_migration,positive
Cute movie for the whole family. From 8 years to 68 years we all laughed and enjoyed the movie. Great family movie.,5.0,migration_2023,positive
"Yet another major disappointment in a series of movie disappointments over the last month. I could barely hang on for the entire ninety minute length. After solid reviews, and a strong recommendation by a female friend who saw [i]Winged Migration[/i] twice in a movie theater, I was expecting something along the lines of [i]Baraka[/i] (a non-narrative connected by themes and ideas). Instead, the movie was a random collection of scenes of migratory birds, mostly different species of geese, most live, some die, but I remained indifferent. The experience was worsened by occasional, portentious (and pretentious) voiceover narration by an unseen Frenchman, and an obvious, manipulative score. Strong visuals, but nothing more. Most definitely, :rotten: .",2.0,winged_migration,negative
Amazing film. I also recommend seeing Microcosmos by the same guys.,5.0,winged_migration,positive
"Cute movie, but not worth the price of a movie ticket. Better to watch at home with streaming. Good for younger children.",3.0,migration_2023,neutral
"This cartoony movie is so incredibly boring, and lame as all other Illumination films (except The Super Mario Bros Movie). The animation on the cartoony characters are so cheaply ugly as the characters from Cloudy With A Chance Of Meatballs. Gwen for example her face looks like a chipmunk because she has fat cheeks, which makes her face look like she has a lot of food in her mouth, and she couldn't swallow, and her beak is so small and when she starts tomorrow her be stretched out, which is cringed to look at. I much rather see Disney's realistic hand drawn a realistic design hand-drawn animation that doesn't look cartoony, and PIXAR's professional CGI animation than Illumination's cheap cartoony animation. And the characters are so annoying, especially Gwen.",0.5,migration_2023,negative
Epic cinematography and camera work. Lots of birds.,3.5,winged_migration,positive
I love this! So beautiful! A deferent optical view about birds life! Reminds me the adventures of Nils Holgerson I watched when i was child... One of the best documentary movies! Very nice soundtrack also!,5.0,winged_migration,positive
beautiful captures and beautiful music,5.0,winged_migration,positive
Fred liked when Delroy was freed Jerry like when the Chef was left hanging and I liked the important lessons of family and friends looking out for each other. Great movie,5.0,migration_2023,positive
I love the music to this bird movie! I even have the soundtracks--it's so good!,4.0,winged_migration,positive
"While information technology has nifty photography, the editing comprise jerky and very footling explanation of what you be seeing. Good but not great. 1 might try information technology again with the sound off and my own medicine on.",3.0,augmented,neutral
"Probably one of the strongest of the sequels with an explanation of Littlefoot ' s father (voiced by Kiefer Sutherland off all people but nonetheless awesome ), it ' s cute, heartfelt and will warm you from information technology ' s endearing proficient nature. .. . Until the end (if you ' re an adult) that ' s ended garbage and destroy the integral purpose of watching.",3.0,augmented,neutral
"Good graphics and I have no idea why, but I like it.",4.5,winged_migration,positive
I love how it went into Migration and the little girl duckling was super cute it's not just for kids but a good whole family good time I'm turning 21 and I still loved i would probably buy this movie. A Screan that I really like was when the baby Duck didn't want to relieve herself in the sky when mainly birds dont care where they go they just do it.,5.0,migration_2023,positive
Predictable and pointless. Exclusively for nipper.,1.0,augmented,negative
"Great footage. In this documentary they film the birds in midflight during their migrations, from a mere few feet away! The beauty of the birds is astounding and really quite moving.",4.0,winged_migration,positive
Excellent documentary about migratory birds. Excellent camerawork. Really deserves an IMAX treatment.,4.0,winged_migration,positive
Excellent animation along with a positive storyline. Our grandkids loved the movie,4.0,migration_2023,positive
"A movie put up extinct from its flock in a bad fashion. "" Migration "" gave PIXAR a unfit expression while its humor isn ' t bad and probably a pleasure ride for small kids.",1.0,augmented,negative
"Amazingly shot! Have no idea how they did it as the camera crew would have to be on some sort of aircraft, but however it was done, it really brings you into the world of migratory birds and gives you literally a ""bird's eye view"" of the beautiful landscapes and oceans they fly over in their endless search of food. The distance that they travel is astonishing. One species flies from the arctic to the antarctic, which is basically traveling the globe longitudinally from North to South Pole over an incredible 12,000 miles. You sometimes find yourself flying right next to them over rivers and streams and other times down on the ground or in lakes as they fish, eat insects or have to defend their young against other predatory birds. Really a deeply penetrating lens into their world.",5.0,winged_migration,positive
Fun for the whole Family.,4.5,migration_2023,positive
"Just as Jason X before it the 10th contribution in a series proves to be stronger than the original. Using the same story as the first film, TLBTXTGLM uses new 3d animation and bigger names in voice acting. The question is: Why aren't you watching this right now?",4.5,land_before_time_x_the_great_longneck_migration,positive
"I love animals intensely, and the animals in this film were so interesting to watch, because though I love them, I've never had a great knowledge of them. Winged Migration is one of those rare movies where you're stuck wondering just how the filmmakers could've possibly gotten certain shots, and even planned certain parts of the movie to happen. Here it's because the animals carry on with their natural order of existence, not at all fearful of the documentary crew. The film seems like such a serene, relaxing entertainment until suddenly birds are plucked out of the sky by the bullets of decadent sport hunters. The movie takes a sudden hairpin and begins making you furious, because you'll feel so relaxed and elated with the presence of these birds and other animals, and suddenly the self-unaware evil of man will yank them from their peace and happiness, just for fun, or money. The hunting scenes are more heartbreaking than any scene I've ever watched in a scripted movie, animals helpless and frightened for their lives, and for what? So rich, well-fed cretins, Dick Cheney being a topical life example, can have fun with guns? The film puts any decent human being into a rage. Later in the movie, we see the miserable effects of South American merchants of caged animals, who are tricked into cages and sold, never freed from the cage. And we wonder why so many parrots and other caged pets bite. Who wouldn't? Wouldn't you? You had the ability to fly and suddenly, without warning, you're kept in a cage for the rest of your life? The effect Jacques Perrin and Jacques Cluzaut were going for with Winged Migration, a forced empathy for these creatures, is fully successful. And for those of you with affinities for animals like mine, be forewarned. This one's hard to take. No, actually, it's absolutely the most painful film I've ever seen and I don't think I can ever see it again. Once is enough for a lifetime.",5.0,winged_migration,positive
great to keep the kids quiet and happy,4.0,land_before_time_x_the_great_longneck_migration,positive
"While the photography and cinemotography were both amazing, I have to admit i found this film lacking overall. There are only a handfull of lines of narration so we learn nothing about the birds or even the topic: migration. The shots they got were amazing, largely in part to the lead group of geese being trained and raised by the film crew, but they are stunning. I'd say watch it if you're interested in the great visuals, but if you want to learn about birds, find another film.",3.0,winged_migration,neutral
They need to stop making these moving picture.,1.0,augmented,negative
I HAVE SEEN EVEY SINGLE finish MOVIE OF LAND BEFORE TIME AND NOT ONE OF THEM BEATS THE number one ONE. ..,3.0,augmented,neutral
"i love THE LAND BEFORE TIME!!, there so cute!!!",4.0,land_before_time_x_the_great_longneck_migration,positive
"The worst movie i seen, yet they still keep making more movies out of it",2.0,land_before_time_x_the_great_longneck_migration,negative
"It was overall funny and well made but its a kids movie and was full of exceptionally scairy parts throughout. There was human and adventure, then scairy long part, over and over again. And just seemed unnecessary. Unlike Pixar movies this one was over the top for kids at least. But of course will depend on your child.",1.5,migration_2023,negative
love the Land before time films,5.0,land_before_time_x_the_great_longneck_migration,positive
"Very entertaining and interesting character development, I like this.🍿🍿✨",5.0,migration_2023,positive
"[left][b]Winged Migration [/b] The Nature documentaries usually fall within two categories. The first type unloads too many facts (via monotonous narration) in too short of a time While the second type provides too many facts (via the same monotonous narration) over too long a time. Well, Winged Migration seems to have struck a nice balance betwixt the two. The movie cuts the monotonous recitation of facts (the facts are presented through some very brief narration and subtitles) and it ends right on time. The film also has some truly magnificent (beautiful, gorgeous, astounding etc. etc.) cometography. Due to careful preparation the director is able to send a camera right up amongst the migrating flocks. It almost feels like we're just another bird winging along. It may sound odd...but considering the scale and the adventures/misadventures that transpire...the film feels like an epic. [b]The Shining [/b]I found The Shining to be an uneven film. It has a few hair raising scenes (twin girls, blood in the elevator) and many tense/suspensful ones (the boy riding on his tricycle up and down the corridors). And yet for every hit there are at least one or two misses. Many scenes (that I presume were meant to be suspenseful) lacked tension (most notably the final showdown in the bathroom and maze). The cast was pretty uneven as well. I enjoyed the supporting cast much more than Jack Nicholson and Shelley Duvall (although, I did like [size=2]Danny Lloyd)[/size]. I disliked Nicholson because he failed to scare me. I suppose the scenes wherein he rants and rages (and cocks his eyebrows and gives that devlish grin) are suppose to make his character terrifying but....not for me. Afterall, it's Jack Nicholson, he does this same basic routine in all his films. Thus, his transformation,his gradual deterioration into a raving lunatic, just seems like more of his usual 'old' antics. Yet, despite its unevenness The Shining still has some remarkable moments...and I recommend it (just not very highly). [/left]",5.0,winged_migration,positive
"ODD DUCKS WELCOME. Migration is a 2023 American animated adventure comedy film produced by Illumination and distributed by Universal Pictures. The film was directed by Benjamin Renner 🦆 It's good 🙂 I'd recommend it if you like this genre 👍🏼 After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",3.5,migration_2023,positive
Winged Migration is one of the better documentaries out there. The way the cameras get so very very close to the birds and and you can see all the aspects of their flight... totally amazing and totally beautiful.,3.5,winged_migration,positive
"Watched with my son, and we laughed and love it",4.0,migration_2023,positive
"This one was sad, but really good!",5.0,land_before_time_x_the_great_longneck_migration,positive
"It's a good movie during the sequel area of a lot of major studios, including Illumination. But it's a good, cute movie with good animation.",4.0,migration_2023,positive
"Even if you don't like birds you will find this fascinating. The Making of is as good as the movie itself, testifying to the incredible effort that went into making a movie with birds literally within reach while in flight. I wondered what happened to the little groups of birds that had been imprinted with humans as their mothers. Did they fit in, were they ostrascized, did they have any eggs...?",4.0,winged_migration,positive
Definitely cute for an animated movie. Not terrible not amazing. Somewhere in the middle but worth seeing once,3.5,migration_2023,positive
"[ i] The Fog of War [/ i] should be required viewing for everyone in the Bush administration. Unfortunately, they would probably look at Robert McNamara as someone who has softened with age, and lost his true perspective. They would be deluded, of track. McNamara does quite a bold thing in Errol Morris ' film. It ' s almost a type of confession. As if he is attempting to absolve himself of mistakes that he made. Unlike when you and I screw up, McNamara ' s mistakes killed people. He ' s nothing if not genuine. Michael Moore can learn from this film. It ' s more effective than F9 / 11, and far better technically. Gouverneur morris is the greatest documentary filmmaker to ever live, and Moore has got a long way to go just to sniff his jock. Finally, is it ironic or sad that liberals, libertarians, and unfeigned conservatives have reached a point where we might [i] wish [/ i] Robert McNamara was the current SecDef? [i] Welcome to Death Row [/ atomic number 53] is an interesting look at the record label (Death Row Records) and it ' s notorious associates (Shug Knight, Dr. Dre, Snoop Dogg, Tupac Shakur, Harrio, etc. ). The film is extremely well directed and edited, and is an absorbing watch. I found it a bit incomplete, however, because it treated Shakur ' s murder as more of an afterthought. To me, that ' s when the story really gets interesting. I think the film also shows these entertainers and record people in a different light. They are thoughtful, smart artists who lie with their craft. A far cry from the general public perception. This film is incredibly underwatched. By comparison, it has 1 / 30 the votes on IMDB that [i] The Fog of War [/ i] has, and that film is often considered ' missed. ' [i] Winged Migration [/ i] is the bird movie where the French dude figured taboo how to snap birds in flight. It ' s beatiful, and I enjoyed it immensely (watched it double last night ). But, in the end, it ' s 100 minutes of birds flying, so it only gets 6 / 10.",3.0,augmented,neutral
